
---------- Begin Simulation Statistics ----------
simSeconds                                   0.284291                       # Number of seconds simulated (Second)
system.cpu.numStoreInsts                    154885540                       # Number of stores executed (Count)
system.cpu.numRate                           2.231038                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             911                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           77814                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                  1000000000                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                    1132163591                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.568582                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.568582                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.758762                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.758762                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 1427612097                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 756160138                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                         16                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                  4616601561                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  645079265                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 436481706                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                     1709                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads      325049931                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     164533919                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     40659548                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     14289240                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               280765912                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         195121312                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect          12527905                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             71228588                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                66213690                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.929594                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                40527349                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect            6260519                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups         9597976                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits            6293492                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses          3304484                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          341                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       265955767                       # The number of squashed insts skipped by commit (Count)
