
---------- Begin Simulation Statistics ----------
simSeconds                                   0.210902                       # Number of seconds simulated (Second)
system.cpu.numSquashedInsts                     25951                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                  18                       # Number of nop insts executed (Count)
system.cpu.numRefs                          136417966                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       16601382                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     69660836                       # Number of stores executed (Count)
system.cpu.numRate                           0.513008                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             247                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           21820                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    50000000                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     141069298                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               7.586393                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          7.586393                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.131815                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.131815                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  270308709                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 103423585                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                         28                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                   727795748                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   51211651                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 110104422                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                      158                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads       48098992                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      69713126                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       804041                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       270053                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                18838971                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          18644608                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             16740                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             18241943                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                18240595                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999926                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                   11730                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  8                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             398                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                120                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              278                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           71                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        33994683                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             539                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             16453                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    374901195                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.376284                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.332673                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       334700632     89.28%     89.28% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        12579367      3.36%     92.63% # Number of insts commited each cycle (Count)
